variable,category,description,feature_type,data_type,value_counts,n_unique,missing_values,mode_pct,gini_impurity,shannon_entropy
encounter_id,Identifiers,Unique identifier of an encounter,Identifier,String,,101766,0,9.82646463455378e-6,0.9999901735353655,16.63489611223011
patient_nbr,Identifiers,Unique identifier of a patient,Identifier,String,,71518,0,0.00039305858538215123,0.9999778017647567,15.872908910610704
race,Demographics,"Values: Caucasian, Asian, African American, Hispanic, and other",Nominal,String,"{""?"": 2273, ""AfricanAmerican"": 19210, ""Asian"": 641, ""Caucasian"": 76099, ""Hispanic"": 2037, ""Other"": 1506}",6,2273,0.7477841322249081,0.4040279310228677,1.1390418899666868
gender,Demographics,"Values: male, female, and unknown/invalid",Nominal,String,"{""Female"": 54708, ""Male"": 47055, ""Unknown/Invalid"": 3}",3,0,0.5375862272271682,0.49720181266309416,0.9963732793421253
age,Demographics,"Grouped in 10-year intervals: [0, 10), [10, 20),..., [90, 100)",Ordinal,Enum,"{""[0-10)"": 161, ""[10-20)"": 691, ""[20-30)"": 1657, ""[30-40)"": 3775, ""[40-50)"": 9685, ""[50-60)"": 17256, ""[60-70)"": 22483, ""[70-80)"": 26068, ""[80-90)"": 17197, ""[90-100)"": 2793}",10,0,0.25615628009354796,0.8167657781969491,2.6540965247727857
weight,Demographics,Weight in pounds.,Ordinal,Enum,"{""?"": 98569, ""[0-25)"": 48, ""[25-50)"": 97, ""[50-75)"": 897, ""[75-100)"": 1336, ""[100-125)"": 625, ""[125-150)"": 145, ""[150-175)"": 35, ""[175-200)"": 11, "">200"": 3}",10,98569,0.9685847925633315,0.061552448028956874,0.26603246519247314
admission_type_id,Admission Details,"Integer identifier corresponding to 9 distinct values, for example, emergency, urgent, elective, newborn, and not available",Nominal,String,"{""Elective"": 18869, ""Emergency"": 53990, ""NULL"": 5291, ""Newborn"": 10, ""Not Available"": 4785, ""Not Mapped"": 320, ""Trauma Center"": 21, ""Urgent"": 18480}",8,0,0.5305308256195586,0.6462581353169002,1.842015893601972
discharge_disposition_id,Admission Details,"Integer identifier corresponding to 29 distinct values, for example, discharged to home, expired, and not available",Nominal,String,"{""Admitted as an inpatient to this hospital"": 21, ""Discharged to home"": 60234, ""Discharged/transferred to ICF"": 815, ""Discharged/transferred to SNF"": 13954, ""Discharged/transferred to a federal health care facility."": 5, ""Discharged/transferred to a long term care hospital."": 412, ""Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare."": 48, ""Discharged/transferred to another rehab fac including rehab units of a hospital."": 1993, ""Discharged/transferred to another short term hospital"": 2128, ""Discharged/transferred to another type of inpatient care institution"": 1184, ""Discharged/transferred to home under care of Home IV provider"": 108, ""Discharged/transferred to home with home health service"": 12902, ""Discharged/transferred within this institution to Medicare approved swing bed"": 63, ""Discharged/transferred/referred another institution for outpatient services"": 11, ""Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital"": 139, ""Discharged/transferred/referred to this institution for outpatient services"": 14, ""Expired"": 1642, ""Expired at home. Medicaid only, hospice."": 8, ""Expired in a medical facility. Medicaid only, hospice."": 2, ""Hospice / home"": 399, ""Hospice / medical facility"": 372, ""Left AMA"": 623, ""NULL"": 3691, ""Neonate discharged to another hospital for neonatal aftercare"": 6, ""Not Mapped"": 989, ""Still patient or expected to return for outpatient services"": 3}",26,0,0.5918872707977124,0.6120177002400484,2.0940301282271263
admission_source_id,Admission Details,"Integer identifier corresponding to 21 distinct values, for example, physician referral, emergency room, and transfer from a hospital",Nominal,String,"{""Clinic Referral"": 1104, ""Court/Law Enforcement"": 16, ""Emergency Room"": 57494, ""Extramural Birth"": 2, ""HMO Referral"": 187, ""NULL"": 6781, ""Normal Delivery"": 2, ""Not Available"": 125, ""Not Mapped"": 161, ""Physician Referral"": 29565, ""Sick Baby"": 1, ""Transfer from Ambulatory Surgery Center"": 2, ""Transfer from a Skilled Nursing Facility (SNF)"": 855, ""Transfer from a hospital"": 3187, ""Transfer from another health care facility"": 2264, ""Transfer from critial access hospital"": 8, ""Transfer from hospital inpt/same fac reslt in a sep claim"": 12}",17,0,0.564962757699035,0.5903041592320799,1.7001983065722603
time_in_hospital,Admission Details,Integer number of days between admission and discharge,Discrete,Int64,"{1: 14208, 2: 17224, 3: 17756, 4: 13924, 5: 9966, 6: 7539, 7: 5859, 8: 4391, 9: 3002, 10: 2342, 11: 1855, 12: 1448, 13: 1210, 14: 1042}",14,0,0.1744787060511369,0.88026268974373,3.3131332725799796
payer_code,Healthcare Provider,"Integer identifier corresponding to 23 distinct values, for example, Blue Cross/Blue Shield, Medicare, and self-pay",Nominal,String,"{""?"": 40256, ""BC"": 4655, ""CH"": 146, ""CM"": 1937, ""CP"": 2533, ""DM"": 549, ""FR"": 1, ""HM"": 6274, ""MC"": 32439, ""MD"": 3532, ""MP"": 79, ""OG"": 1033, ""OT"": 95, ""PO"": 592, ""SI"": 55, ""SP"": 5007, ""UN"": 2448, ""WC"": 135}",18,40256,0.395574160328597,0.7306621159778447,2.4600098443549197
medical_specialty,Healthcare Provider,"Integer identifier of a specialty of the admitting physician, corresponding to 84 distinct values, for example, cardiology, internal medicine, family/general practice, and surgeon",Nominal,String,"{""?"": 49949, ""AllergyandImmunology"": 7, ""Anesthesiology"": 12, ""Anesthesiology-Pediatric"": 19, ""Cardiology"": 5352, ""Cardiology-Pediatric"": 7, ""DCPTEAM"": 6, ""Dentistry"": 4, ""Dermatology"": 1, ""Emergency/Trauma"": 7565, ""Endocrinology"": 120, ""Endocrinology-Metabolism"": 8, ""Family/GeneralPractice"": 7440, ""Gastroenterology"": 564, ""Gynecology"": 58, ""Hematology"": 82, ""Hematology/Oncology"": 207, ""Hospitalist"": 57, ""InfectiousDiseases"": 37, ""InternalMedicine"": 14635, ""Nephrology"": 1613, ""Neurology"": 203, ""Neurophysiology"": 1, ""Obsterics&Gynecology-GynecologicOnco"": 25, ""Obstetrics"": 19, ""ObstetricsandGynecology"": 671, ""Oncology"": 348, ""Ophthalmology"": 38, ""Orthopedics"": 1400, ""Orthopedics-Reconstructive"": 1233, ""Osteopath"": 39, ""Otolaryngology"": 125, ""OutreachServices"": 12, ""Pathology"": 17, ""Pediatrics"": 254, ""Pediatrics-AllergyandImmunology"": 3, ""Pediatrics-CriticalCare"": 87, ""Pediatrics-EmergencyMedicine"": 3, ""Pediatrics-Endocrinology"": 159, ""Pediatrics-Hematology-Oncology"": 4, ""Pediatrics-InfectiousDiseases"": 1, ""Pediatrics-Neurology"": 10, ""Pediatrics-Pulmonology"": 25, ""Perinatology"": 1, ""PhysicalMedicineandRehabilitation"": 391, ""PhysicianNotFound"": 11, ""Podiatry"": 100, ""Proctology"": 1, ""Psychiatry"": 854, ""Psychiatry-Addictive"": 1, ""Psychiatry-Child/Adolescent"": 7, ""Psychology"": 101, ""Pulmonology"": 871, ""Radiologist"": 1140, ""Radiology"": 53, ""Resident"": 2, ""Rheumatology"": 17, ""Speech"": 1, ""SportsMedicine"": 1, ""Surgeon"": 45, ""Surgery-Cardiovascular"": 98, ""Surgery-Cardiovascular/Thoracic"": 652, ""Surgery-Colon&Rectal"": 11, ""Surgery-General"": 3099, ""Surgery-Maxillofacial"": 11, ""Surgery-Neuro"": 468, ""Surgery-Pediatric"": 8, ""Surgery-Plastic"": 41, ""Surgery-PlasticwithinHeadandNeck"": 1, ""Surgery-Thoracic"": 109, ""Surgery-Vascular"": 533, ""SurgicalSpecialty"": 33, ""Urology"": 685}",73,49949,0.49082208203132677,0.7227289070900436,2.8321894753581875
