,name,role,type,demographic,description,units,missing_values
0,encounter_id,ID, ,,Unique identifier of an encounter,,no
1,patient_nbr,ID, ,,Unique identifier of a patient,,no
2,race,Feature,Categorical,Race,"Values: Caucasian, Asian, African American, Hispanic, and other",,yes
3,gender,Feature,Categorical,Gender,"Values: male, female, and unknown/invalid",,no
4,age,Feature,Categorical,Age,"Grouped in 10-year intervals: [0, 10), [10, 20),..., [90, 100)",,no
5,weight,Feature,Categorical,,Weight in pounds.,,yes
6,admission_type_id,Feature,Categorical,,"Integer identifier corresponding to 9 distinct values, for example, emergency, urgent, elective, newborn, and not available",,no
7,discharge_disposition_id,Feature,Categorical,,"Integer identifier corresponding to 29 distinct values, for example, discharged to home, expired, and not available",,no
8,admission_source_id,Feature,Categorical,,"Integer identifier corresponding to 21 distinct values, for example, physician referral, emergency room, and transfer from a hospital",,no
9,time_in_hospital,Feature,Integer,,Integer number of days between admission and discharge,,no
10,payer_code,Feature,Categorical,,"Integer identifier corresponding to 23 distinct values, for example, Blue Cross/Blue Shield, Medicare, and self-pay",,yes
11,medical_specialty,Feature,Categorical,,"Integer identifier of a specialty of the admitting physician, corresponding to 84 distinct values, for example, cardiology, internal medicine, family/general practice, and surgeon",,yes
12,num_lab_procedures,Feature,Integer,,Number of lab tests performed during the encounter,,no
13,num_procedures,Feature,Integer,,Number of procedures (other than lab tests) performed during the encounter,,no
14,num_medications,Feature,Integer,,Number of distinct generic names administered during the encounter,,no
15,number_outpatient,Feature,Integer,,Number of outpatient visits of the patient in the year preceding the encounter,,no
16,number_emergency,Feature,Integer,,Number of emergency visits of the patient in the year preceding the encounter,,no
17,number_inpatient,Feature,Integer,,Number of inpatient visits of the patient in the year preceding the encounter,,no
18,diag_1,Feature,Categorical,,The primary diagnosis (coded as first three digits of ICD9); 848 distinct values,,yes
19,diag_2,Feature,Categorical,,Secondary diagnosis (coded as first three digits of ICD9); 923 distinct values,,yes
20,diag_3,Feature,Categorical,,Additional secondary diagnosis (coded as first three digits of ICD9); 954 distinct values,,yes
21,number_diagnoses,Feature,Integer,,Number of diagnoses entered to the system,,no
22,max_glu_serum,Feature,Categorical,,"Indicates the range of the result or if the test was not taken. Values: >200, >300, normal, and none if not measured",,no
23,A1Cresult,Feature,Categorical,,"Indicates the range of the result or if the test was not taken. Values: >8 if the result was greater than 8%, >7 if the result was greater than 7% but less than 8%, normal if the result was less than 7%, and none if not measured.",,no
24,metformin,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no
25,repaglinide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no
